ResponseTime,Availability,Throughput,Successability,Reliability,Compliance,BestPractices,Latency,ServiceName
179.29,87,2.6,95,60,89,69,26,CurriculumOnlineProviderService
3610.2,96,1.4,99,67,100,77,6.4,USDAData
123,96,14.6,99,83,89,91,68.5,UniquesubsService
198.5,72,15.1,72,83,89,91,6,SerClsPeticionSOAPTPVPCservice
265.4,99,1.5,100,67,100,82,35.2,etandemService
130.33,63,7.8,63,73,78,84,14.66,NewsReaderService
100,94,36.3,98,73,100,84,1,HelloWorld
196,69,9.7,70,73,78,80,44.75,Palio_x0020_di_x0020_Siena
47.27,61,20.3,62,67,78,82,2,AmazonSearchService
431.33,85,9.4,95,67,78,72,6.66,ChartReq
43,47,3.6,47,80,100,83,5.17,MessengerServiceAPI
215.6,91,15.9,97,73,100,84,5.4,showorfService
271,63,2.7,64,67,89,72,152,AddressManager
215.5,95,3.6,95,78,50,89,15,interopLab
107,83,31.3,84,73,100,84,3,AreaService
122,90,3.9,97,73,78,80,1,UPSRates
307.75,71,2.1,71,73,78,84,2.37,MathService
498.5,91,4.8,91,60,89,82,31.17,grtnwsSOAP
283.74,86,3.3,87,53,89,66,96.78,AnalysisWSAppLabImplService
136.94,26,3.1,26,67,78,82,4.44,interop
210,89,15.7,96,73,100,84,5.8,extractfeatService
91.8,97,24.7,99,73,78,84,8.8,SendCustomForm
1314.75,78,3.5,79,73,78,84,30.75,WSTCoffeeService
334.71,43,4.4,43,73,89,75,14.85,ESVService
146.08,57,10.2,59,53,89,71,52.93,MessageGroupService
266.92,72,1.4,72,80,100,83,2.34,processParticipant
305.4,93,12.2,98,73,100,84,7.8,sixpackService
2561.33,87,1.2,96,67,78,72,28,CashFlowPresentValues
388.5,73,2,73,58,100,72,1,ETP
239.33,88,9,96,83,78,91,7,EdmServiceService
154,90,23.9,97,73,78,80,9,SOAPSend
297.38,71,1.9,72,73,89,75,6.38,AccountServiceNoHeader
542.87,26,4.4,26,53,100,66,32.94,ReviewRequestManager
83.33,39,1.7,40,80,78,78,1,replicaCatalogService
332.25,78,5.9,78,73,89,88,140.25,OECD.Stat_x0020_SDMX_x0020_web_x0020_service
239.22,85,7.7,86,53,89,66,53.22,AnalysisWSAppLabImplService
401.62,86,8.1,95,60,78,74,0.77,XigniteExchanges
114,86,17.9,86,73,89,84,3,Service1
320.4,89,12.3,96,73,100,84,9.2,coderetService
223,91,3.9,97,73,100,84,33.4,acdtableService
2123,100,8.8,100,73,100,84,4,Service1
240.6,86,1.2,95,73,100,84,11,recoderService
532.75,78,5.5,78,67,89,72,26,AMIWebServiceService
290.3,86,4.4,86,53,89,66,97.47,AnalysisWSAppLabImplService
233.2,97,2.1,99,73,100,84,7.4,newcpgseekService
109.6,99,19.3,100,73,78,62,1,NewsNArticles
1021.5,65,3.1,65,73,89,75,4.83,RecommendationService
197,95,0.8,98,58,100,75,6,tcodeService
333,83,14.9,84,83,89,93,6,BankValSOAP
496.43,48,0.8,48,67,89,72,338.86,PoiManager
239.05,97,8.8,99,67,78,77,37.38,StreamContentService
2440.33,71,1.1,72,67,78,77,1883.33,GeocoderService
203,57,1.2,59,67,89,72,110.5,AddressFinder
261,36,0.9,37,60,89,69,13.67,BINDService
148.56,99,2.3,100,73,89,75,98.67,BtblastService
311.25,56,7,56,83,89,91,7,OMIM
115,83,22.8,84,73,100,84,4,AreaService
180,95,14.6,99,73,100,84,23.5,LetterSoup
4207.5,92,1.1,92,80,89,83,3881.25,WSDLInteropTestDocLitService
136.71,90,3.8,97,60,78,74,5.23,XigniteRegistration
293.5,70,2.5,70,73,89,80,13.5,SendContentServiceNoHeader
162.25,78,9.1,78,73,89,84,7.25,HolaMundoWebS
689.42,34,1.1,34,67,89,72,236.75,Report
120,87,24.2,95,67,89,82,2,interopLabEchoHeader
490.5,89,4.1,96,73,100,80,4.5,PeopleWS
1041,83,12.8,84,73,89,75,5,Presidential Election Results 2004
335.5,78,3.6,79,73,78,80,81,ContainerTrackingWebService
383.2,98,2.1,100,73,100,84,6.2,redataService
510,100,13.9,100,73,100,80,1,XCShopService
316.07,32,1,32,60,89,69,225,MapImage
270.5,95,19.1,98,78,89,89,4.5,SOAPFaultService
464.62,40,3.6,40,78,78,89,16.12,ThaiSQL
250.4,93,2,98,50,100,72,45.4,pepnetService
411.83,85,0.4,86,53,89,66,142.96,AnalysisWSAppLabImplService
171,83,18.6,84,80,78,87,5,SearchCuroCustomerService
115,96,28,99,73,100,84,1,Compound2
389,84,1,84,67,89,82,289,PhoneService
724.82,99,4.7,100,60,89,69,13.53,SmsGatewayService
104.5,85,15.6,95,73,89,62,46.5,UserService
292,83,16.6,84,58,89,80,5,SurchargeRegisterService
144.5,96,22.3,99,67,78,72,19.5,RouteCalculationService
193.6,67,3.4,67,73,89,84,23.4,NWs
1423.5,47,2.2,47,78,89,89,162.5,ISMSServiceservice
42.5,72,13.2,72,73,78,84,2,XarayaSoap
570.5,99,8.3,99,67,100,83,484,Compound1
500.71,92,2.2,93,67,89,58,233.85,MFundsService
136,83,21.4,84,83,78,91,6,EmailValidation
324,86,23.1,95,73,100,80,21,DownloadService
1316.17,75,1.2,75,73,78,84,81,WSEmbossService
284.65,86,3.1,86,53,89,66,96.22,AnalysisWSAppLabImplService
3484,87,5.8,96,73,100,84,4,OddFactWebService
119,61,2.9,62,53,67,71,5,Interop
113.75,100,1,100,73,78,84,6.75,Sample
63.8,99,18.1,100,73,78,84,1.8,DataEnhancement
180,83,13.5,84,73,78,84,7,eFetchService
1296,86,6.9,86,73,78,80,1,Phonebook
352,98,21.5,100,58,89,75,1,AdminService
125,100,17.4,100,67,78,82,2,CPP_Status_Request
1987,56,1.9,57,60,89,79,7.73,DatasetBrowser
724,85,13.1,95,50,89,72,2,TransportService
585.5,97,1,99,60,100,74,19.5,ResidentialLookup
470,99,0.5,100,60,100,79,14,ZacksConsensus
227,92,0.9,97,58,100,75,8,plotorfService
252.35,85,5.3,86,53,89,66,53.96,AnalysisWSGowlabImplService
551.79,80,1.8,81,53,67,76,6.93,Interop
58,95,16,98,73,78,80,1,search
718,86,3.3,87,67,78,82,54.5,VSOiService
67.25,56,15.5,56,78,89,89,4,WMLP
130.14,88,20.5,96,80,78,83,19.28,ShoppingCartTest
204.6,96,1.9,99,58,100,75,7.8,findkmService
339,87,11.7,95,67,78,72,48,TRMDemoBPService
305.8,88,13.5,96,58,100,75,6,dotmatcherService
56,97,9,99,73,78,84,1,BookInfoService
100,99,19.8,100,73,100,84,30.5,WHOIS
789.8,98,2.2,95,73,89,62,593.2,Servicio_C_de_Calidad
324.67,97,4.1,98,80,78,87,77.67,captchaWebService
149.67,86,11.2,95,73,100,84,82,LookingForStrategyServices
417,86,6.5,86,73,100,84,230,NewsWebSvc
60.05,77,9.1,77,67,100,77,4.1,AWSECommerceService
143.33,88,15.7,88,73,100,80,8.66,RouteFinder
501.79,28,4.8,28,73,67,80,88.36,JanusSvc
274.52,86,4.3,86,53,89,66,87.3,AnalysisWSAppLabImplService
116,89,12.9,89,67,78,72,1.5,WSDLInteropTestRpcEncService
667.11,38,2.1,38,73,89,75,82,SPRACI
163,91,33.2,97,73,100,84,1,SignatureVerification
146.5,90,17.6,97,73,100,80,3,SynonymsService
127,90,23.1,96,67,100,83,9,Compound1
134.08,97,15.4,99,73,100,84,10.16,NSVMCachingAPI
597.5,98,3.7,100,60,100,74,43.5,PhoneValidator
182.33,100,11.6,100,73,100,84,63.33,PolicyDocuments
121.67,99,9.6,100,73,100,84,0.67,TravelCodesTranslator
219.2,85,0.9,95,58,100,75,7.6,hmomentService
175,92,4.3,97,73,78,84,13,LVISWebService
135.67,93,2.4,98,58,67,75,21.84,DimeInterop
334,92,1.5,97,67,100,82,38.8,fdnadistService
51.5,100,1.8,100,73,78,80,2,MedicareData
207.2,85,1.1,95,73,100,84,7,btwistedService
4480.8,52,1,53,50,78,66,1652.4,LocalSearchSrvService
154,71,14.4,72,73,89,80,5.5,retsinfoService
123.92,97,15.6,99,73,100,80,15.5,EditService
669.1,56,1.3,57,60,89,69,3.2,premiumuser package
243,98,25.6,100,73,100,84,1,eSynapsFeed
126.67,94,9.5,98,73,100,84,0.67,BagsOnNet
114.5,95,14.2,99,67,78,77,0.6,XigniteNews
65.4,92,6.8,92,67,100,77,8.25,AWSECommerceService
196,88,9.8,96,73,78,84,37,sample
148.95,89,10.8,96,67,100,77,6.73,EcMSoapBridgeService
166.63,99,9.6,100,67,100,82,33.55,HR-XML_x0020_Validation_x0020__x0028_2006-02_x0020_release_x0029_
306.8,90,12.7,97,73,100,84,9,mergerService
223.6,100,0.7,100,73,100,84,6,skipseqService
229.79,89,7.4,89,67,100,77,41.32,AWSECommerceService
219,56,10.4,56,60,78,69,67,lister
236.67,63,6.4,63,53,89,66,8.67,SubjectBrowserService
460,56,2.6,57,60,78,79,107.5,IAddress2service
248.8,88,1.1,96,67,100,82,42.4,trimestService
220.6,90,1.3,96,73,100,84,9.2,btwistedService
242.4,89,1.1,96,73,100,84,7.6,prophetService
257.5,100,3.4,100,73,78,84,1,IntegrateServiceService
170,85,3.1,95,60,100,79,48.25,CaptchaService
87.14,87,20.5,95,67,89,58,0.71,MemberServices
219,99,16.4,99,80,100,83,1,notification
122,86,14.5,86,67,78,82,3,interopLabEchoHeader
228.6,100,14.1,100,73,100,84,9.8,transeqService
187.75,64,8.1,65,73,78,75,63,Beheer
184.74,62,7.9,62,67,67,77,19.3,v40
1104.67,47,3.1,47,83,89,91,29.84,VizieRService
276,88,1.6,96,67,100,82,32.8,stretcherService
316.3,84,2,85,53,89,66,120.13,AnalysisWSAppLabImplService
63.25,98,25.6,100,67,78,66,10.25,SIAP
140.5,97,18,99,73,78,84,50,PipelineManagerALE
167.5,86,16.1,86,73,78,84,2,CalcService
287.22,86,5.5,86,53,89,66,77.57,AnalysisWSAppLabImplService
244,86,26.7,95,83,100,91,2,HelloOpenSOAP
1138.33,88,4.7,88,73,100,80,402.33,FindBlankWS
154,98,14,99,73,100,80,3,BaseformService
1226,91,6.3,97,73,100,84,3,Personalizer
55.5,81,19.1,82,73,100,80,4.75,AmazonHistoricalPricing
287.22,85,3.5,86,53,89,66,101.05,AnalysisWSAppLabImplService
283,83,20.3,84,73,89,75,13,Departements
825.8,90,5.9,91,60,78,69,123.2,Schedule
335.58,65,8.9,66,73,78,80,3.75,DataTypes
224,78,3.9,79,73,78,84,1.75,NumberGuess
581,83,15.6,84,50,89,66,116,GetPersonInfoService
130.75,56,10.8,56,83,78,91,3.5,PmSoapRpcApi
203,72,22.1,72,83,89,91,3,Streams
272.43,85,1.9,86,53,89,66,69.39,AnalysisWSAppLabImplService
333.52,86,3,86,53,89,66,111.26,AnalysisWSAppLabImplService
121,91,7.9,97,73,78,84,10,GoogleSearchService
102,90,18.6,97,73,78,80,1,DOTSGeoPhone
330.19,92,8.6,97,67,100,77,17.13,TerraService
77.9,91,17.1,97,73,78,62,20.57,protseq
111,98,0.8,100,67,100,77,27,SushiwsPort
214.62,32,2.3,32,53,78,66,57.39,BarbiWebServicesImplService
463.6,91,2,91,73,100,84,98.4,showdbService
854,96,14.7,99,73,100,84,1,DevLeap_x0020_-_x0020_WSCached
540.5,72,3.7,72,67,89,72,35,ndfdXML
905,96,1.6,99,73,78,84,3,EnergyUnit
158.8,87,5.8,96,73,78,80,30.8,SoapTest
109.75,70,11.4,70,73,78,80,61.25,ImgCutout
664,83,11.4,84,53,89,66,2,EncryptPointService
1529,72,5.3,72,83,89,91,6,CountryService
95.25,99,16.3,100,73,78,80,1,FACISBackgroundCheck
146.83,85,2.1,95,83,89,91,95.58,VbidasService
382.71,27,5.7,28,73,89,80,62.92,JanusAT
322.33,99,9,100,73,89,62,18.66,pathwayDBSer
599,85,10.3,95,73,78,84,2,CommuneInfoService
235.4,87,1.4,95,73,100,84,10,etandemService
2836.25,79,2.4,79,73,67,84,78.75,DataService
202,98,9.7,99,80,78,87,43,PCtoLongLat
71.75,59,1.2,60,67,100,77,4.5,FaxMessagingService
312,88,3,96,73,100,84,47,ftreedistpairService
248.4,98,1.4,99,58,100,75,10.2,chaosService
298.83,46,7.7,46,83,89,91,114,nalennd
474.91,91,5.8,97,60,78,74,162.87,XigniteRealTime
142,39,6.3,40,73,89,84,6.12,GuessWebService
262.5,89,5.3,96,73,100,80,18,LandmarkService
443,98,10.1,100,58,100,75,5.8,lindnaService
255.08,12,8.1,13,53,78,71,6.34,OnlineMessenger
245.8,89,1.2,96,73,100,84,7.4,backtranseqService
409.5,86,1.7,87,58,100,69,173.5,MlekoSluzba
1730,72,2,72,67,89,72,245.5,GMPubSrvService
235.9,61,4,61,73,67,84,86.9,TheHolyBible
293,99,27.8,100,73,100,80,13,DownloadService
372.25,66,4.7,66,80,89,83,77.83,Service
104.5,86,23.5,86,73,89,80,2,CoolWSFromITM
305.37,87,8,87,67,100,77,90.95,AWSECommerceService
138.5,86,21.4,86,73,89,84,2,Utility
227,97,15.7,99,80,100,87,3,EHCIntegrationService
189,83,26.5,84,83,89,91,6,SerClsPeticionSOAPTPVPCservice
126,83,31.4,84,83,89,91,3,XEMBLService
80.55,94,13.6,94,60,89,54,26.19,SkyNode
211,86,14.3,95,73,100,84,8.6,trimseqService
220.4,85,15.6,95,58,100,75,5.8,danService
305,86,21.7,95,73,100,84,1,news
1235,88,3.6,96,42,89,62,10.17,LeagueService
238,87,3.8,96,80,89,65,1.17,nEkaWebService
195,89,0.8,96,73,100,84,6.4,seqretsplitService
115,98,17.9,100,73,100,83,2,Batch_Transfer
447.2,90,4.2,91,73,78,84,16.2,SoapTest
367.4,85,4.4,95,73,100,84,6,embossversionService
786.5,67,4.8,67,50,89,66,133,Sandbox6Service
289,86,0.4,87,80,100,87,1,DatabindingPatterns
220.2,93,14.2,98,73,100,84,9,getorfService
127.75,94,4.1,98,73,100,84,1.25,XFService
231,83,19.6,84,83,89,91,8,bonjourwsdl
620.25,91,8.5,97,78,78,89,13.75,WikiWebService
158.25,93,13.9,98,73,78,84,19.87,IOHandler
445.43,96,8.8,99,80,78,83,6.14,BLiquidity
1255.12,97,2.2,97,60,78,74,523.88,pbx
541,100,21.6,100,83,89,91,16,WitwService
266.33,85,1.1,95,67,78,85,11.44,TargetServiceBinding
151,83,24,84,78,89,89,15,christmas
115.4,97,10.1,99,67,78,77,59.36,TNPubServicesXML
1832.67,89,3.3,96,67,100,77,4,serviceName
295.67,73,4,74,73,89,80,152.17,Vigenere1
345,72,10.3,72,83,89,93,2,SerClsPeticionSOAPTPVPCservice
222.6,85,1,95,58,100,75,8.4,pepnetService
135.27,81,1.5,81,60,67,79,2.87,Interop
157.5,86,16.4,86,73,89,84,1.5,TimeService
446.23,90,6.2,97,60,78,79,1.08,XigniteChart
275,88,4,96,50,78,66,20,TRMStandardVersionService
170.67,96,2.6,99,73,89,84,34,eyeVeri
328.5,46,4.1,47,73,78,84,14,WhiteMesaSoap12AddTestSvc
407,78,4.2,79,73,78,80,48.25,Rss
308,93,12.9,98,78,78,89,1,logon
281.91,86,4.4,86,53,89,66,86.61,AnalysisWSAppLabImplService
368,90,12.2,97,60,78,74,14.2,ConfigEditingService
412.25,89,6.1,89,73,89,62,195.75,Game
399.6,52,1.5,53,67,89,72,227.8,Utility
275,83,23.6,84,83,89,91,4,VersionService
117,86,20,86,73,89,84,2.5,DailyHoro
98.25,90,1.7,96,73,100,80,2.25,PermitPlace
349,91,21.3,97,58,100,75,1,AdminService
486.4,81,2.2,81,60,67,79,4,Interop
213,100,1.3,100,58,100,75,8.6,isochoreService
130,89,24.5,96,67,100,82,1,XWebEmailValidation
208.6,88,14.2,96,73,100,84,7.6,showfeatService
123.92,66,3.6,66,73,89,80,3.75,DataTypes
517.67,63,6.3,63,67,78,82,9.34,ItestckvSOAPservice
654.41,87,3.7,95,53,89,50,2.2,GeDat
210.5,72,8.3,72,80,100,78,6.5,SoapGO
82,90,18.9,97,73,89,62,1,DataUtil
238.5,73,7.4,74,73,89,80,72.83,Service
322,91,19.6,97,73,100,80,109,FlightRouteAggregatorService
103.25,93,20,98,73,78,84,1,DOTSValidateCanada
238.04,48,7.1,49,67,89,77,61.93,WebSyndicationService
177,83,17.2,84,73,89,84,18,BarCodesService
260,83,15.5,84,73,89,84,10,RandomBushismService
182,83,20.4,84,83,89,91,6,IgetNumbersservice
175.6,51,6.4,51,80,100,87,12.4,Resources
233,89,1.6,96,73,100,84,8.8,dregService
50.75,56,8.6,56,80,89,83,6,mdWebServices
152,96,24.2,99,73,78,80,12,SOAPSend
325.25,56,8.1,56,67,78,85,56.5,IWSDLPublishservice
1425.75,78,3.9,79,73,78,84,28.75,WSMPsrchService
203.8,93,1.9,98,73,100,84,9.4,antigenicService
149.5,94,13.3,98,73,100,80,4,LeftNeighboursService
4637.61,30,0.5,30,67,67,82,4140.35,SBSWebService
440.75,89,1.3,96,73,78,84,13,SMSGateway
994,99,4.6,100,73,100,84,634.5,MathService
155,83,21.3,84,80,78,87,5,SearchCuroCustomerService
137.71,79,2.4,80,67,78,82,9.21,interop2
434.83,66,3,66,80,89,83,62.58,Service
374.2,93,1,98,67,100,82,60.6,vrnaalifoldpfService
1342,94,10,98,73,78,84,83,Headlines
151.22,93,13.6,93,73,78,62,1.44,Products
246.6,92,3,97,73,100,84,43.4,pdbtospService
130,94,15.5,98,73,78,80,1.2,DOTSFraudProtection
324,83,16,84,83,89,93,7,BankValSOAP
186,86,11.3,86,60,89,69,6.5,Random Quote
2909.47,94,1.3,98,67,100,82,34.68,Service1
331,91,23.2,97,73,100,80,22,DownloadService
375,93,11.2,98,73,100,84,9.8,distmatService
485.6,94,9.6,98,73,100,84,7.6,mergerService
173,83,11.5,84,73,89,75,20,showmyip_lookup
733.08,30,4.4,30,73,78,84,1.33,DNGatewatWebServiceService
221,18,4.3,18,60,78,79,11.35,AmazonSearchService
97.33,88,1.7,96,73,78,80,1.33,DOTSYellowPages
178.5,72,13.2,72,67,89,85,8,IPasswordservice
315.5,86,13.6,86,80,89,87,2,HexBinaryTest
278.75,86,9.2,95,83,89,91,1.75,CalcService
288.8,51,5.9,51,83,89,91,3.8,VaerkerService
99,60,0.8,60,53,89,66,3.75,PropertyInformation
359.15,51,5,52,60,89,74,3.93,Round4XSDTest
1189.5,72,7.2,72,78,89,89,2,UCDResolverService
427.2,96,4.2,99,73,78,80,116.8,eUtilsService
213.82,59,8.3,59,67,67,77,68.89,PCSDealers
524,94,22.5,98,67,89,85,22,TestService
149,96,33.9,99,58,100,75,43,AdminService
102,86,17.3,86,80,89,87,59.5,WhiteYork_x0020_Hosting_x0020_Usage_x0020_Service
147.75,78,13.7,78,73,89,84,2.25,SessionService1
49.53,53,15,54,60,89,69,0.82,CB_CD
498.67,90,6.3,96,73,78,84,9.34,GoogleSearchService
251.6,92,0.9,97,67,100,82,41.6,wordmatchService
386.71,45,6,46,67,89,77,29.26,WebBugService
198,97,1,99,73,100,84,8,seqretService
184.5,90,9.4,97,60,78,69,33.62,XigniteInsider
76,98,23.4,99,50,89,77,2,GtsInterfacesService
3698.04,60,1.1,61,67,89,77,76.79,search
216,93,7.5,98,73,100,80,1.5,SeqReferenceInfoEJB
198.8,100,1.4,100,73,100,84,6.8,shuffleseqService
306,90,5.5,97,73,100,80,14.5,LandmarkService
2938.5,72,2.9,72,73,78,84,344.5,GetCustomNews
1783.25,93,1.9,93,53,67,50,14.25,wsTravelService
111,72,15,72,83,89,91,6.5,GD_VSDB_WMService
1019.75,99,4.5,97,73,100,84,868.25,FileShopHandler
555,83,5.6,84,73,89,84,111,addressMeister.comService
150.5,92,16.2,97,73,78,80,1,DataTypes
353.75,66,3.5,66,80,89,83,67.25,Service
75.22,93,18.2,98,67,78,72,21.55,search
96.67,92,3.9,97,58,100,75,13.67,WolframSearchService
477,94,14.2,98,73,78,84,2,BNPriceWS
42.5,72,14.1,72,73,78,84,3.5,XarayaSoap
115,86,8.8,86,73,78,84,61.5,Zip2Geo
70.86,42,7.6,43,78,89,89,3.43,WMLS
317,93,12.1,98,73,100,84,10.6,supermatcherService
140,95,16.4,98,73,78,84,34,CCChecker
223.33,97,2.2,99,73,89,87,67,generate_login_token
121.33,90,10,97,73,78,84,8.33,GoogleSearchService
126,97,31.5,99,58,100,75,14,BlogAPI
1238.17,47,3.4,47,72,78,86,43.45,MAGGIE
105.92,9,9.3,10,67,89,77,54.08,GenericXsltCallback
349.07,95,9.1,96,67,100,77,5.4,Report
178.4,87,9.7,96,73,89,62,65.8,WorldTimeService
207,25,8.8,26,67,89,72,91.93,uBioService
300,88,28,96,73,100,80,14,DownloadService
157,90,22.9,96,73,100,80,1,Interactive
321.5,56,3.7,57,67,78,85,14.25,eZentrum-Webservices
200,87,1.2,96,58,100,75,8.6,hmomentService
162,98,13,100,73,89,75,1,LoggingService
66,83,33.4,84,78,89,89,2,SecureLogin
122,99,34.3,100,73,78,84,8,WSDLInteropTestListService
90,85,31.1,95,60,89,79,1,interop2C
169.75,69,8.1,70,60,78,74,11.75,LocalService
314.62,96,5.9,99,83,78,91,70.24,ProMLResolver
211.25,89,10.9,89,67,78,72,152.75,WSDLInteropTestRpcEncService
83,91,19,97,80,100,83,1,CourseRegistration
286,93,9.4,98,73,78,84,16,Afstandsberegner
121.46,61,13.9,62,67,89,77,9.15,AutoService
195,83,34.7,84,80,78,83,107,walker_service
234.83,73,3.5,74,73,78,88,115.5,XMSServer
3150,98,2.9,100,73,78,84,31,AustralianPostCode
175.67,73,5.5,74,73,89,84,56.5,SiteUser
345,98,24.4,100,89,100,93,21,ZipCodeLookup
189.57,43,3,44,73,89,75,6,kSMSSoap
99,99,31.1,100,73,100,84,2,Drors
186,83,25,84,83,89,91,4,SerClsPeticionSOAPservice
133.17,94,13.9,95,73,100,80,6.59,Utility
152,96,4.9,99,60,100,79,51,EmailVerification
538,97,15.8,99,58,89,75,9,AdminService
199.4,99,2.2,100,73,100,84,7.6,sigcleaveService
293.8,93,12.9,98,73,100,84,8,stretcherService
413.5,98,11.4,100,80,89,78,4.5,hellowsdl
314.15,100,6.7,100,60,100,79,18.05,NSVMPublishingAPIV3
104.75,89,19.4,96,73,78,80,1.5,DOTSCurrencyExchange
225.2,100,14,100,73,100,84,10.4,checktransService
444,83,13.2,84,73,89,84,24,SiteInspectService
249.08,12,8.7,12,53,78,71,7.23,OnlineMessenger
261.09,85,5.4,86,53,89,66,69.13,AnalysisWSAppLabImplService
2779.5,28,1.5,28,60,89,69,1.38,CatalogService
275.5,71,7.2,72,78,89,89,124.5,LottoDrawings
3007.25,79,2.3,79,73,67,84,105.75,DataService
146.5,72,14.2,72,83,89,91,3.5,MaranServiceService
163,85,1.8,95,60,100,74,42.33,TaxDataComplete
330,83,15.6,84,67,78,72,3,GeoCodeSrvService
193,88,1.6,96,73,100,84,8.6,patmatdbService
214.4,89,14.6,96,73,100,84,6.6,msbarService
125,86,9.4,86,73,78,84,3,geographyRequests
329.8,51,6,51,73,89,75,30.6,Departements
3166,72,3.7,72,83,89,91,1.5,RecommendationService
216.6,94,1.8,98,73,100,84,7.8,newcpgseekService
115.4,96,18.7,99,80,78,87,1.4,FullerData_x0020_High_x0020_Score_x0020_Service
338,72,10.5,72,73,100,84,156.5,eSynapsMonitor
831.36,64,2,65,80,67,87,95.36,getOtherInformation
92.5,78,11.9,78,73,89,84,4.5,Rankings
